Planet Name,X,Y,Z,Orbital Period,Planet Radius,Planet Mass,Semi-Major Axis,Eccentricity,Insolation Flux,Equilibrium Temperature,Star Temperature,Star Radius
HIP 67851 b,-11.18780839092714,-6.065730249742135,-9.015649802200553,88.87622,,498.35494,0,0,,,,
HIP 67851 c,-11.18780839092714,-6.065730249742135,-9.015649802200553,,,1712.0,0,0,,,,5.95
HIP 70849 b,-22.767655989464647,-17.36131533137346,-30.134427319988667,3649.0,,1430.22783,0,0,,,,
HIP 71135 b,-14.744329734624355,-11.609231606591623,-24.586451882698032,87.19,,18.8,0,0,,,4146.0,
HIP 74890 b,-6.182450780238365,-7.257037670922672,-8.411136168408069,822.3,,762.792,0,0,,,4850.0,5.77
HIP 75092 b,-7.0491706302523545,-8.452400989170044,-5.3658984832640755,926.4,,568.91285,0,0,,,4891.0,4.53
HIP 77900 b,-3.06558579772505,-5.027243926454835,-3.044175023920086,,,6674.39655,0,0,,2507.0,,
HIP 78530 b,-3.340895280053529,-5.900447393931242,-2.736864741876431,,,7700.0,0,0,,2700.0,10500.0,
HIP 79098 AB b,-2.9311301863481023,-5.555180407014526,-2.755294479565755,,,6515.515,0,0,,2450.0,,
HIP 79431 b,-29.3831904183145,-58.103920992454604,-22.262538070524197,111.7,,667.415,0,0,,,3191.0,
HIP 81208 C b,-1.989243517310858,-5.130567815722748,-3.957704848448863,104100.0,,4703.86042,0,0,,2050.0,,
HIP 8152 b,8.371314247391183,4.120876730182179,-3.104135582414194,10.75101,2.56,7.8,0,0,88.9,855.0,5530.0,0.95
HIP 8152 c,8.371314247391183,4.120876730182179,-3.104135582414194,19.6053,2.48,9.4,0,0,39.9,699.0,5530.0,0.95
HIP 8541 b,3.3225761869579697,1.7316286659093683,-5.245984049363347,1560.2,,1748.065,0,0,,,4670.0,7.83
HIP 86221 b,-2.97923251480409,-29.821069812538806,15.865626280223315,2.224,,225.65817,0,0,,,,
HIP 90988 b,0.9929060870537002,-6.732661841994811,-8.171584495494686,453.9,,622.94368,0,0,,,4883.0,3.94
HIP 91258 b,1.6556002719485545,-10.198167663418578,19.189222932938186,5.0505,,346.4347,0,0,,,5519.0,0.89
HIP 94235 b,2.582280644800911,-8.071338896619846,-14.84065150588631,7.713057,3.0,379.0,0,0,,1060.0,5991.0,1.08
HIP 948 b,22.196442699652746,1.1351562996072049,-18.14633674571223,24955.45756,,6547.26518,0,0,,,,
HIP 9618 b,11.83622960638557,7.085241949335109,5.373196085649736,20.772858,3.828,8.3,0,0,,641.0,5649.0,0.96
HIP 9618 c,11.83622960638557,7.085241949335109,5.373196085649736,52.56370562,3.284,,0,0,14.37,542.0,5625.56,0.97
HIP 97166 b,1.8411141441526229,-3.734294028014803,14.580167610552534,10.288914,2.48,19.1,0,0,,702.0,5216.0,0.84
