Planet Name,X,Y,Z,Orbital Period,Planet Radius,Planet Mass,Semi-Major Axis,Eccentricity,Insolation Flux,Equilibrium Temperature,Star Temperature,Star Radius
Kepler-1791 b,110.83269100295412,-428.85720838717356,408.0001580188469,7.72084349,1.96,,0,0,317.66,1077.0,6218.0,1.17
Kepler-1792 b,195.97862476835087,-423.35860487277796,378.9402712236863,4.19577385,,,0,0,,,4985.0,0.75
Kepler-1793 b,335.37062915478054,-833.7161907155204,779.9091413998999,8.77998204,,,0,0,,,5300.76,0.91
Kepler-1794 b,199.32784160450944,-336.7811838994243,402.2745780851554,9.7629522,1.96,,0,0,57.59,703.0,5052.0,0.82
Kepler-1795 b,,,,13.36019864,,,0,0,,,,
Kepler-1796 b,307.60215776303306,-501.1157554430974,579.9539997924146,29.4557841,,,0,0,,,6103.0,1.02
Kepler-1797 b,355.4839106859635,-859.7313493417571,962.3142295022016,23.3594822,2.95,,0,0,51.68,684.0,6244.0,1.01
Kepler-1798 b,116.01501014206912,-291.14487437982916,240.73856766228613,16.85593514,2.08,,0,0,6.25,403.0,3972.0,0.56
Kepler-1799 b,441.12464895867356,-1333.1586847449764,1764.0079255689673,11.92957,2.6,,0,0,,751.0,5796.0,0.87
Kepler-18 b,144.76877116934998,-271.3620776210566,304.8513243079322,3.50469125,,,0,0,,,5359.0,0.95
Kepler-180 b,193.9107918379647,-405.2446375075576,531.134927377349,13.81731817,1.32,,0,0,,,5610.0,0.93
Kepler-1800 b,123.94606746699131,-236.57050205544851,226.91513158381719,4.56204856,1.33,,0,0,622.54,1274.0,5445.0,1.46
Kepler-1801 b,276.5667911359956,-588.6939176653473,530.4983388933125,10.44090078,,,0,0,,,5455.0,0.87
Kepler-1802 b,230.123502334837,-394.72454765089714,443.41284914957396,7.7251,0.95,,0,0,,570.0,4356.0,0.57
Kepler-1804 b,160.70781752849567,-263.87298109830186,305.4440426125921,12.2882885,,,0,0,,,4869.0,0.78
Kepler-1805 b,43.60406071080664,-161.75492458034273,145.11332324957598,8.84784273,1.15,,0,0,12.48,479.0,3867.0,0.55
Kepler-1806 b,190.19649995653714,-601.9455559522415,747.0608672856783,9.03326435,1.96,,0,0,66.89,729.0,5311.0,0.79
Kepler-1807 b,340.23574213648186,-861.5590929672528,911.1465477618195,10.86062378,2.09,,0,0,356.24,1108.0,6455.0,1.5
Kepler-1808 b,234.8067290750689,-754.2265481306221,648.4693933995911,23.34031664,2.36,,0,0,30.94,602.0,5530.0,0.89
Kepler-1809 b,107.8022579852454,-291.9727805596311,266.2787392743929,3.7572999,1.513,,0,0,,,4901.0,0.72
Kepler-181 b,172.26818432093867,-350.8479101759076,467.39190267372555,3.137852,1.42,,0,0,,1016.0,5325.0,0.75
Kepler-1810 b,295.3422888751814,-737.9228044382539,622.960900853297,101.1326568,3.79,,0,0,4.92,380.0,5783.0,0.94
Kepler-1811 b,363.2069122924273,-999.024352265161,896.4865844195193,76.4217472,2.87,,0,0,8.98,442.0,6091.0,0.97
Kepler-1812 b,506.0865182392749,-948.4329107035718,911.1355036715443,7.16520428,,,0,0,,,6317.0,1.15
Kepler-1813 b,,,,2.81815011,1.42,,0,0,292.77,1055.0,5290.0,0.75
Kepler-1814 b,143.26259737107316,-526.688022416417,479.2223564834779,2.93536207,3.15,,0,0,258.48,1022.0,4922.0,0.82
Kepler-1815 b,364.01128204343814,-626.176065468083,699.0731567439873,12.19140405,2.46,,0,0,80.01,763.0,5516.0,0.97
Kepler-1816 b,125.25574401368577,-247.41694254146003,338.7991063506719,91.500873,1.82,,0,0,2.18,310.0,5051.0,0.71
Kepler-1817 b,111.35351600731941,-522.3821547411414,524.47385696697,44.29919815,2.273,,0,0,,,5316.0,0.92
